epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,648.138,0.67804,0.76785,1.17247,0.91713,0.87334,0.92292,0.72474,0.75507,0.63956,1.18098,0.000540037,0.000540037,0.000540037
43,663.645,0.65792,0.75149,1.1548,0.86344,0.87136,0.91335,0.70761,0.79352,0.67156,1.19507,0.000531038,0.000531038,0.000531038
44,679.04,0.65016,0.72444,1.1506,0.84134,0.85466,0.8828,0.68611,0.79226,0.69653,1.19089,0.000522039,0.000522039,0.000522039
45,694.706,0.64217,0.72229,1.14492,0.90245,0.85607,0.92187,0.72608,0.75669,0.64038,1.16381,0.00051304,0.00051304,0.00051304
46,710.485,0.64488,0.72256,1.14286,0.87036,0.89708,0.92663,0.72094,0.76511,0.6336,1.16636,0.00050404,0.00050404,0.00050404
47,726.102,0.63316,0.7069,1.14719,0.87441,0.88171,0.91925,0.71871,0.7654,0.65947,1.16609,0.000495041,0.000495041,0.000495041
48,741.667,0.62961,0.7021,1.13721,0.90933,0.86204,0.91777,0.72127,0.77099,0.62764,1.15549,0.000486042,0.000486042,0.000486042
49,757.774,0.6421,0.71242,1.15281,0.89207,0.88605,0.92479,0.721,0.76702,0.60826,1.162,0.000477043,0.000477043,0.000477043
50,773.271,0.62973,0.70315,1.13766,0.92485,0.87568,0.93714,0.73685,0.77768,0.61549,1.16776,0.000468044,0.000468044,0.000468044
51,788.529,0.60953,0.67933,1.12042,0.8906,0.87753,0.92275,0.72704,0.75583,0.62179,1.14451,0.000459045,0.000459045,0.000459045
52,803.751,0.61857,0.68824,1.13457,0.91623,0.87897,0.93343,0.73616,0.74488,0.60533,1.14422,0.000450046,0.000450046,0.000450046
53,819.728,0.61409,0.68386,1.12559,0.91928,0.87395,0.93209,0.73645,0.76233,0.61111,1.16502,0.000441047,0.000441047,0.000441047
54,835.743,0.62147,0.68652,1.13145,0.92184,0.88691,0.94477,0.75107,0.73198,0.57782,1.13311,0.000432048,0.000432048,0.000432048
55,851.883,0.60967,0.66095,1.12085,0.88248,0.90724,0.93812,0.73738,0.75358,0.59536,1.15271,0.000423049,0.000423049,0.000423049
56,867.65,0.61866,0.66936,1.12935,0.90983,0.87958,0.93816,0.75004,0.75028,0.5796,1.1464,0.000414049,0.000414049,0.000414049
57,882.979,0.61085,0.67105,1.12608,0.90922,0.8794,0.93175,0.74982,0.72126,0.60765,1.13211,0.00040505,0.00040505,0.00040505
58,898.019,0.59898,0.65677,1.11393,0.90973,0.90767,0.94917,0.76528,0.7247,0.55659,1.12784,0.000396051,0.000396051,0.000396051
59,913.31,0.59431,0.63545,1.12249,0.92066,0.88526,0.93969,0.74557,0.73918,0.5565,1.13089,0.000387052,0.000387052,0.000387052
60,928.592,0.59214,0.65446,1.10962,0.90747,0.89676,0.93517,0.74057,0.73042,0.58507,1.12325,0.000378053,0.000378053,0.000378053
61,944.253,0.59477,0.64278,1.11024,0.92114,0.89,0.94361,0.75258,0.71407,0.56525,1.12653,0.000369054,0.000369054,0.000369054
62,960.158,0.58036,0.63004,1.10813,0.90221,0.91645,0.93683,0.73639,0.73488,0.56218,1.14048,0.000360055,0.000360055,0.000360055
63,975.842,0.577,0.61909,1.10419,0.89971,0.90103,0.9465,0.75374,0.72577,0.56132,1.12259,0.000351056,0.000351056,0.000351056
64,991.173,0.58678,0.63083,1.10905,0.93435,0.87369,0.94206,0.74876,0.74071,0.56766,1.13054,0.000342057,0.000342057,0.000342057
65,1006.65,0.57676,0.62866,1.10459,0.92368,0.8779,0.93981,0.74999,0.74344,0.55773,1.14502,0.000333058,0.000333058,0.000333058
66,1022.03,0.56625,0.60418,1.09371,0.90878,0.90053,0.93777,0.74659,0.74942,0.55901,1.15334,0.000324058,0.000324058,0.000324058
67,1037.19,0.5796,0.61732,1.10273,0.92,0.88784,0.94181,0.75473,0.7484,0.56166,1.14168,0.000315059,0.000315059,0.000315059
68,1052.4,0.56699,0.60777,1.08796,0.91151,0.8969,0.94177,0.75199,0.72997,0.56448,1.13058,0.00030606,0.00030606,0.00030606
69,1067.66,0.57048,0.607,1.10154,0.932,0.89012,0.94769,0.76094,0.72403,0.54244,1.13107,0.000297061,0.000297061,0.000297061
70,1082.79,0.5616,0.58645,1.09225,0.93526,0.8959,0.94728,0.76542,0.71189,0.52377,1.1158,0.000288062,0.000288062,0.000288062
71,1098.51,0.55214,0.58144,1.08813,0.93486,0.87418,0.94233,0.76198,0.72322,0.54523,1.13055,0.000279063,0.000279063,0.000279063
72,1114.08,0.54924,0.56893,1.08421,0.90812,0.90837,0.94277,0.76022,0.72365,0.53921,1.12871,0.000270064,0.000270064,0.000270064
73,1129.71,0.5533,0.58933,1.0833,0.92361,0.92072,0.95213,0.77609,0.69908,0.51391,1.11378,0.000261065,0.000261065,0.000261065
74,1145.14,0.54599,0.57719,1.08002,0.92305,0.90317,0.94968,0.77203,0.70793,0.5204,1.122,0.000252066,0.000252066,0.000252066
75,1160.36,0.54933,0.57707,1.08234,0.92445,0.90303,0.94963,0.76774,0.70466,0.52304,1.11992,0.000243067,0.000243067,0.000243067
