epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,398.531,0.71967,0.89295,1.20926,0.87084,0.77791,0.88657,0.64477,0.95623,0.85945,1.27877,0.000742625,0.000742625,0.000742625
43,407.941,0.68692,0.84616,1.17371,0.82705,0.83362,0.87402,0.64426,0.86993,0.81574,1.22294,0.00073025,0.00073025,0.00073025
44,417.369,0.68545,0.84188,1.1906,0.87057,0.84983,0.8937,0.65147,0.91345,0.76827,1.23398,0.000717875,0.000717875,0.000717875
45,426.832,0.67812,0.85651,1.17735,0.85922,0.86421,0.90376,0.68364,0.86601,0.71471,1.20376,0.0007055,0.0007055,0.0007055
46,436.27,0.6845,0.83918,1.1778,0.88422,0.82418,0.89436,0.63762,0.96186,0.79972,1.2762,0.000693125,0.000693125,0.000693125
47,445.693,0.6592,0.8168,1.15925,0.80355,0.85138,0.88957,0.65058,0.93338,0.77849,1.25938,0.00068075,0.00068075,0.00068075
48,455.147,0.65853,0.80856,1.16114,0.88932,0.86419,0.90643,0.68095,0.89194,0.74003,1.22051,0.000668375,0.000668375,0.000668375
49,464.581,0.65686,0.79684,1.16321,0.89166,0.83969,0.90795,0.67849,0.87,0.74427,1.24161,0.000656,0.000656,0.000656
50,473.939,0.66292,0.81141,1.16457,0.83759,0.83964,0.88218,0.65805,0.89229,0.76475,1.22266,0.000643625,0.000643625,0.000643625
51,483.373,0.66041,0.81943,1.16865,0.88114,0.83494,0.90403,0.68268,0.87723,0.71792,1.22472,0.00063125,0.00063125,0.00063125
52,492.77,0.6442,0.79175,1.14736,0.89676,0.8492,0.90847,0.68275,0.88767,0.71999,1.22761,0.000618875,0.000618875,0.000618875
53,502.184,0.65809,0.78771,1.16161,0.90432,0.83668,0.902,0.65377,0.94622,0.74921,1.25295,0.0006065,0.0006065,0.0006065
54,511.616,0.6566,0.79639,1.15806,0.89284,0.8438,0.90886,0.66924,0.90423,0.72399,1.23674,0.000594125,0.000594125,0.000594125
55,521.116,0.64144,0.7828,1.14877,0.89945,0.83225,0.92261,0.67381,0.93524,0.71478,1.26138,0.00058175,0.00058175,0.00058175
56,530.496,0.64467,0.74684,1.14333,0.88979,0.85779,0.91383,0.69383,0.85229,0.68646,1.19706,0.000569375,0.000569375,0.000569375
57,539.885,0.63149,0.7721,1.14253,0.89633,0.86884,0.92172,0.67949,0.90711,0.68679,1.22925,0.000557,0.000557,0.000557
58,549.271,0.66109,0.78009,1.15703,0.87757,0.85968,0.90924,0.67732,0.90742,0.70793,1.21865,0.000544625,0.000544625,0.000544625
59,558.711,0.62794,0.75017,1.13788,0.88119,0.8666,0.90428,0.6811,0.88465,0.70367,1.20933,0.00053225,0.00053225,0.00053225
60,568.121,0.62519,0.73262,1.13618,0.8923,0.85239,0.91666,0.68226,0.87788,0.73182,1.2017,0.000519875,0.000519875,0.000519875
61,577.618,0.62697,0.73362,1.13737,0.87553,0.85023,0.91148,0.67584,0.90103,0.72181,1.21067,0.0005075,0.0005075,0.0005075
62,587.059,0.61094,0.71945,1.12871,0.90769,0.88599,0.93139,0.7034,0.85914,0.67225,1.18252,0.000495125,0.000495125,0.000495125
63,596.497,0.62161,0.73156,1.13234,0.87314,0.85918,0.90541,0.68919,0.86937,0.69119,1.19143,0.00048275,0.00048275,0.00048275
64,605.875,0.59392,0.68775,1.11252,0.87413,0.88795,0.9277,0.7092,0.84575,0.65496,1.20422,0.000470375,0.000470375,0.000470375
65,615.319,0.60547,0.70338,1.12472,0.91984,0.85366,0.92577,0.70513,0.87761,0.63273,1.20413,0.000458,0.000458,0.000458
66,624.776,0.60145,0.68576,1.11539,0.92067,0.85231,0.92131,0.70824,0.83649,0.65635,1.17885,0.000445625,0.000445625,0.000445625
67,634.246,0.5953,0.68833,1.11433,0.88122,0.84819,0.92105,0.6916,0.89571,0.66125,1.2125,0.00043325,0.00043325,0.00043325
68,643.685,0.60374,0.70732,1.12081,0.93368,0.84297,0.92386,0.708,0.85975,0.66341,1.20284,0.000420875,0.000420875,0.000420875
69,653.138,0.59203,0.69431,1.11152,0.91212,0.87409,0.92815,0.71184,0.84328,0.64374,1.18575,0.0004085,0.0004085,0.0004085
70,662.57,0.56693,0.67596,1.107,0.90475,0.87946,0.92625,0.71046,0.86161,0.66213,1.19987,0.000396125,0.000396125,0.000396125
71,671.975,0.57291,0.65616,1.10394,0.92746,0.88558,0.9374,0.72074,0.85333,0.61493,1.19296,0.00038375,0.00038375,0.00038375
72,681.413,0.57529,0.66128,1.11106,0.88769,0.89842,0.93381,0.72282,0.83259,0.62495,1.16465,0.000371375,0.000371375,0.000371375
73,690.818,0.55876,0.64415,1.09442,0.91378,0.85627,0.92967,0.72085,0.84479,0.64103,1.17416,0.000359,0.000359,0.000359
74,700.239,0.55641,0.65636,1.0956,0.91229,0.87829,0.92857,0.72491,0.82203,0.61966,1.16919,0.000346625,0.000346625,0.000346625
75,709.657,0.55886,0.63273,1.09812,0.90162,0.88161,0.92826,0.70433,0.87045,0.641,1.19662,0.00033425,0.00033425,0.00033425
76,719.096,0.58059,0.66235,1.11284,0.89496,0.86571,0.91667,0.71524,0.80857,0.62515,1.14777,0.000321875,0.000321875,0.000321875
77,728.545,0.56241,0.63857,1.08662,0.89922,0.86715,0.92612,0.72701,0.82056,0.62011,1.1504,0.0003095,0.0003095,0.0003095
78,738.001,0.55306,0.62507,1.08462,0.90743,0.8643,0.92317,0.71075,0.83435,0.61979,1.17379,0.000297125,0.000297125,0.000297125
79,747.393,0.55793,0.62997,1.09102,0.90682,0.87093,0.92915,0.72334,0.83816,0.62216,1.17372,0.00028475,0.00028475,0.00028475
80,756.842,0.55663,0.62154,1.10256,0.89889,0.88798,0.92924,0.71652,0.85973,0.60739,1.2036,0.000272375,0.000272375,0.000272375
81,766.293,0.53667,0.6091,1.07909,0.9258,0.86251,0.93009,0.72588,0.83266,0.60878,1.17155,0.00026,0.00026,0.00026
82,775.727,0.52886,0.61313,1.07675,0.91166,0.89065,0.93169,0.71948,0.8461,0.6179,1.19194,0.000247625,0.000247625,0.000247625
83,785.275,0.54286,0.60871,1.08516,0.91306,0.87196,0.9267,0.72154,0.81267,0.6218,1.14875,0.00023525,0.00023525,0.00023525
84,794.74,0.51615,0.57369,1.06736,0.9281,0.85487,0.93515,0.73293,0.82748,0.59515,1.18066,0.000222875,0.000222875,0.000222875
85,804.154,0.52793,0.58709,1.07594,0.921,0.86695,0.92898,0.71766,0.87432,0.61337,1.20138,0.0002105,0.0002105,0.0002105
86,813.551,0.53142,0.60285,1.07871,0.92406,0.87244,0.92709,0.72426,0.83287,0.60071,1.17048,0.000198125,0.000198125,0.000198125
87,822.985,0.5297,0.59989,1.07165,0.92274,0.88145,0.93033,0.71718,0.84297,0.60258,1.18689,0.00018575,0.00018575,0.00018575
88,832.435,0.52147,0.5932,1.06706,0.92116,0.8718,0.93053,0.72137,0.83641,0.59912,1.17332,0.000173375,0.000173375,0.000173375
89,841.841,0.51762,0.58255,1.07537,0.90137,0.87854,0.93075,0.72248,0.83051,0.59051,1.16962,0.000161,0.000161,0.000161
90,851.294,0.50964,0.55851,1.05832,0.91312,0.88498,0.92905,0.71893,0.85987,0.60595,1.19858,0.000148625,0.000148625,0.000148625
91,865.993,0.48021,0.49474,1.07754,0.91842,0.86997,0.92159,0.71595,0.84467,0.61452,1.18249,0.00013625,0.00013625,0.00013625
92,875.288,0.45533,0.4674,1.05947,0.93664,0.85772,0.92933,0.73056,0.80946,0.59246,1.15761,0.000123875,0.000123875,0.000123875
93,884.574,0.44707,0.45398,1.0506,0.91346,0.87365,0.93353,0.72853,0.81602,0.58863,1.16526,0.0001115,0.0001115,0.0001115
94,893.802,0.42831,0.42188,1.0376,0.91016,0.88027,0.93319,0.72407,0.84106,0.59017,1.18533,9.9125e-05,9.9125e-05,9.9125e-05
95,903.042,0.42578,0.42114,1.02448,0.91424,0.88765,0.93229,0.73552,0.81248,0.57835,1.15608,8.675e-05,8.675e-05,8.675e-05
96,912.345,0.42184,0.4109,1.03197,0.91836,0.88988,0.93312,0.72848,0.83167,0.58651,1.17607,7.4375e-05,7.4375e-05,7.4375e-05
97,921.646,0.42921,0.42482,1.02933,0.92092,0.89513,0.93646,0.72794,0.81411,0.58292,1.16447,6.2e-05,6.2e-05,6.2e-05
98,930.92,0.41206,0.40818,1.02183,0.93973,0.88831,0.93884,0.73426,0.8065,0.56867,1.15608,4.9625e-05,4.9625e-05,4.9625e-05
99,940.263,0.41856,0.41852,1.02669,0.92607,0.88072,0.93562,0.73199,0.80562,0.57048,1.15996,3.725e-05,3.725e-05,3.725e-05
100,949.55,0.41655,0.40673,1.01991,0.93443,0.88394,0.93683,0.73124,0.81824,0.57346,1.17018,2.4875e-05,2.4875e-05,2.4875e-05
