epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,582.795,0.65601,0.73915,1.15615,0.85969,0.86305,0.91644,0.70097,0.80693,0.70009,1.19637,0.000540037,0.000540037,0.000540037
43,596.574,0.65339,0.72383,1.15085,0.88,0.84334,0.91142,0.6968,0.784,0.71643,1.17361,0.000531038,0.000531038,0.000531038
44,610.313,0.64683,0.72242,1.14895,0.85253,0.86684,0.88675,0.68789,0.79561,0.7028,1.19486,0.000522039,0.000522039,0.000522039
45,624.141,0.63023,0.70587,1.13793,0.92726,0.88882,0.93912,0.73067,0.78179,0.61522,1.18783,0.00051304,0.00051304,0.00051304
46,637.94,0.63788,0.71329,1.14121,0.90003,0.89296,0.92915,0.73103,0.74256,0.61923,1.15059,0.00050404,0.00050404,0.00050404
47,651.704,0.63728,0.72828,1.14559,0.90388,0.88906,0.93909,0.7292,0.77689,0.61289,1.17306,0.000495041,0.000495041,0.000495041
48,665.522,0.63358,0.70077,1.14339,0.89831,0.8737,0.93429,0.70962,0.8133,0.63049,1.20725,0.000486042,0.000486042,0.000486042
49,679.281,0.63268,0.70113,1.14103,0.89908,0.89064,0.93737,0.73269,0.75717,0.60567,1.16026,0.000477043,0.000477043,0.000477043
50,693.066,0.63205,0.69248,1.142,0.9282,0.85599,0.92658,0.72602,0.75352,0.61026,1.16483,0.000468044,0.000468044,0.000468044
51,706.901,0.61917,0.68318,1.1349,0.89116,0.90822,0.92331,0.71562,0.77871,0.62011,1.18302,0.000459045,0.000459045,0.000459045
52,720.625,0.61758,0.68528,1.12857,0.90397,0.886,0.92733,0.71809,0.78066,0.60328,1.1769,0.000450046,0.000450046,0.000450046
53,734.359,0.61197,0.67852,1.12912,0.92164,0.86826,0.93558,0.74272,0.722,0.5979,1.13477,0.000441047,0.000441047,0.000441047
54,748.125,0.60413,0.66884,1.1263,0.88983,0.87972,0.91836,0.71578,0.74345,0.64552,1.17207,0.000432048,0.000432048,0.000432048
55,761.87,0.60078,0.65588,1.12238,0.91463,0.87533,0.93504,0.73935,0.72862,0.58809,1.14642,0.000423049,0.000423049,0.000423049
56,775.64,0.60919,0.65944,1.12634,0.89395,0.89288,0.93473,0.72835,0.73377,0.58464,1.14265,0.000414049,0.000414049,0.000414049
57,789.417,0.59937,0.64385,1.12323,0.89325,0.89433,0.93472,0.73281,0.73873,0.62404,1.15976,0.00040505,0.00040505,0.00040505
58,803.156,0.59436,0.64334,1.11192,0.90336,0.89931,0.93282,0.73635,0.74703,0.59292,1.15904,0.000396051,0.000396051,0.000396051
59,816.899,0.59582,0.65717,1.11425,0.91424,0.90858,0.94835,0.75392,0.71717,0.56297,1.13718,0.000387052,0.000387052,0.000387052
60,830.599,0.59399,0.64934,1.10914,0.89361,0.90678,0.93917,0.7345,0.74388,0.57842,1.15569,0.000378053,0.000378053,0.000378053
61,844.432,0.59315,0.6396,1.11611,0.87193,0.89066,0.9305,0.71837,0.75607,0.62304,1.16097,0.000369054,0.000369054,0.000369054
62,858.214,0.58713,0.63649,1.11258,0.91985,0.9159,0.95031,0.75164,0.7091,0.53723,1.12624,0.000360055,0.000360055,0.000360055
63,871.938,0.57647,0.61918,1.10085,0.91868,0.89653,0.94376,0.75498,0.70438,0.55009,1.12684,0.000351056,0.000351056,0.000351056
64,885.754,0.58157,0.62058,1.10485,0.91853,0.891,0.94324,0.73855,0.73697,0.57032,1.16082,0.000342057,0.000342057,0.000342057
65,899.445,0.58026,0.61784,1.10537,0.92651,0.92038,0.94628,0.75412,0.7203,0.52719,1.12894,0.000333058,0.000333058,0.000333058
66,913.246,0.56975,0.60553,1.09917,0.91152,0.90383,0.93901,0.75,0.69838,0.55835,1.12227,0.000324058,0.000324058,0.000324058
67,926.999,0.56996,0.59816,1.09671,0.90817,0.90044,0.94269,0.75248,0.71967,0.53631,1.13905,0.000315059,0.000315059,0.000315059
68,940.727,0.55701,0.58784,1.09556,0.92298,0.9093,0.94817,0.75786,0.71306,0.52669,1.14326,0.00030606,0.00030606,0.00030606
69,954.538,0.55396,0.5869,1.0848,0.93352,0.89716,0.94296,0.75422,0.7057,0.53448,1.13206,0.000297061,0.000297061,0.000297061
70,968.268,0.55162,0.58454,1.09026,0.92396,0.91581,0.94975,0.75484,0.72245,0.5285,1.14699,0.000288062,0.000288062,0.000288062
71,982.019,0.55318,0.58397,1.09266,0.92025,0.89913,0.94307,0.74555,0.73951,0.53898,1.15997,0.000279063,0.000279063,0.000279063
72,995.759,0.54352,0.57527,1.08323,0.9285,0.8891,0.94886,0.75499,0.7279,0.53626,1.14664,0.000270064,0.000270064,0.000270064
73,1009.59,0.54949,0.58836,1.09361,0.9065,0.91689,0.94695,0.74343,0.7534,0.55598,1.17889,0.000261065,0.000261065,0.000261065
74,1023.41,0.53597,0.56334,1.07468,0.92106,0.91131,0.94675,0.75955,0.72346,0.52889,1.14791,0.000252066,0.000252066,0.000252066
75,1037.24,0.54438,0.58344,1.08355,0.91737,0.89817,0.94245,0.74934,0.72531,0.53424,1.1491,0.000243067,0.000243067,0.000243067
76,1050.97,0.53575,0.56208,1.07452,0.91023,0.92406,0.9448,0.76422,0.69854,0.51823,1.12709,0.000234068,0.000234068,0.000234068
77,1064.68,0.53749,0.57007,1.08049,0.90651,0.92777,0.94762,0.76317,0.70407,0.52283,1.12213,0.000225068,0.000225068,0.000225068
78,1078.44,0.52937,0.5451,1.07045,0.92086,0.91216,0.94441,0.7616,0.68492,0.52627,1.12071,0.000216069,0.000216069,0.000216069
79,1092.2,0.53621,0.56071,1.08058,0.90848,0.91777,0.94632,0.76312,0.72092,0.51811,1.13678,0.00020707,0.00020707,0.00020707
80,1106.06,0.51736,0.5479,1.06958,0.9091,0.91894,0.94262,0.76447,0.70042,0.52889,1.12348,0.000198071,0.000198071,0.000198071
81,1119.79,0.51447,0.54935,1.06703,0.92093,0.91456,0.95208,0.76852,0.70212,0.50769,1.13002,0.000189072,0.000189072,0.000189072
82,1133.6,0.5217,0.55354,1.07225,0.90552,0.90724,0.94497,0.76245,0.70468,0.52842,1.12361,0.000180073,0.000180073,0.000180073
83,1147.41,0.51883,0.53576,1.06276,0.92607,0.89487,0.94677,0.76433,0.69966,0.50919,1.12034,0.000171074,0.000171074,0.000171074
84,1161.16,0.51927,0.54429,1.06324,0.92827,0.90249,0.94545,0.7667,0.68535,0.52135,1.11108,0.000162075,0.000162075,0.000162075
85,1174.85,0.50652,0.52691,1.05784,0.91624,0.89751,0.94585,0.76799,0.68368,0.51341,1.10691,0.000153076,0.000153076,0.000153076
86,1188.65,0.49843,0.52732,1.04865,0.92696,0.90868,0.95201,0.77066,0.69826,0.50164,1.12289,0.000144077,0.000144077,0.000144077
87,1202.42,0.50572,0.52347,1.05766,0.92749,0.91068,0.94987,0.77083,0.70033,0.50132,1.11998,0.000135077,0.000135077,0.000135077
88,1216.27,0.50088,0.52159,1.05044,0.91963,0.91303,0.94736,0.76764,0.69119,0.50278,1.10915,0.000126078,0.000126078,0.000126078
89,1229.97,0.50966,0.52761,1.06078,0.94527,0.89733,0.95498,0.77265,0.69112,0.5,1.1179,0.000117079,0.000117079,0.000117079
90,1243.7,0.50291,0.52657,1.05708,0.9221,0.91575,0.94919,0.76672,0.69761,0.50839,1.12133,0.00010808,0.00010808,0.00010808
91,1268.62,0.44431,0.44228,1.03023,0.93702,0.8924,0.9482,0.77407,0.68031,0.50976,1.11272,9.9081e-05,9.9081e-05,9.9081e-05
92,1282.19,0.42538,0.41345,1.02097,0.9244,0.90508,0.94594,0.76777,0.67476,0.50785,1.10707,9.00819e-05,9.00819e-05,9.00819e-05
93,1295.76,0.41355,0.40146,1.01103,0.90907,0.92558,0.95146,0.77693,0.67711,0.49299,1.11308,8.10828e-05,8.10828e-05,8.10828e-05
94,1309.42,0.41266,0.39492,1.01153,0.90903,0.91292,0.94871,0.77454,0.68661,0.50176,1.12173,7.20837e-05,7.20837e-05,7.20837e-05
95,1322.98,0.40461,0.38815,1.01203,0.90757,0.91828,0.94905,0.77479,0.68237,0.49699,1.1163,6.30846e-05,6.30846e-05,6.30846e-05
96,1336.67,0.39247,0.38555,1.00106,0.9147,0.91614,0.95226,0.77548,0.67884,0.48998,1.1171,5.40855e-05,5.40855e-05,5.40855e-05
97,1350.27,0.39455,0.38035,1.0055,0.8995,0.92915,0.95395,0.77774,0.68401,0.49089,1.12025,4.50864e-05,4.50864e-05,4.50864e-05
98,1363.87,0.39489,0.36962,1.00321,0.93498,0.90983,0.95393,0.78429,0.67104,0.4844,1.10618,3.60873e-05,3.60873e-05,3.60873e-05
99,1377.46,0.39908,0.37613,0.99157,0.92908,0.90959,0.95156,0.78474,0.6757,0.48459,1.11132,2.70882e-05,2.70882e-05,2.70882e-05
100,1391.04,0.38511,0.37188,0.98621,0.93303,0.90996,0.95341,0.78446,0.67917,0.48355,1.11408,1.80891e-05,1.80891e-05,1.80891e-05
